Format Version,1.23,Take Name,Take 2023-12-14 11.13.17 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-14 11.13.18.173 ,Total Frames in Take,4076,Total Exported Frames,4076,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"AC8CA75B9A6511EE7FE6B7EAD028679D","AC8CA75B9A6511EE7FE6B7EAD028679D","AC8CA75B9A6511EE7FE6B7EAD028679D","AC8CA75B9A6511EE7FE6B7EAD028679D","AC8CA75B9A6511EE7FE6B7EAD028679D","AC8CA75B9A6511EE7FE6B7EAD028679D","AC8CA75B9A6511EE7FE6B7EAD028679D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.992891,0.112075,-0.038728,0.010357,0.413820,0.686348,0.244182
1,0.010000,-0.992904,0.112023,-0.038526,0.010360,0.413813,0.686354,0.244188
2,0.020000,-0.992892,0.112032,-0.038840,0.010326,0.413821,0.686350,0.244196
3,0.030000,,,,,,,
4,0.040000,-0.992864,0.112458,-0.038334,0.010228,0.413757,0.686354,0.244159
5,0.050000,-0.993042,0.111641,-0.036063,0.010200,0.413872,0.686396,0.244066
6,0.060000,-0.992873,0.112294,-0.038580,0.010242,0.413795,0.686365,0.244184
7,0.070000,-0.992900,0.111994,-0.038769,0.010236,0.413809,0.686367,0.244193
8,0.080000,-0.992895,0.112057,-0.038712,0.010249,0.413813,0.686368,0.244187
9,0.090000,-0.992899,0.112077,-0.038551,0.010207,0.413815,0.686348,0.244180
10,0.100000,-0.992912,0.111971,-0.038509,0.010235,0.413819,0.686363,0.244192
11,0.110000,-0.992892,0.112008,-0.038935,0.010223,0.413802,0.686348,0.244184
12,0.120000,-0.992905,0.112028,-0.038591,0.010018,0.413818,0.686350,0.244166
13,0.130000,-0.992867,0.112294,-0.038728,0.010281,0.413782,0.686359,0.244195
14,0.140000,-0.992891,0.112129,-0.038602,0.010192,0.413827,0.686365,0.244196
15,0.150000,-0.992886,0.112177,-0.038586,0.010204,0.413801,0.686363,0.244173
16,0.160000,-0.992892,0.112089,-0.038752,0.009972,0.413820,0.686349,0.244191
17,0.170000,-0.992895,0.112081,-0.038643,0.010181,0.413810,0.686352,0.244181
18,0.180000,-0.992883,0.112193,-0.038550,0.010484,0.413787,0.686359,0.244184
19,0.190000,-0.992876,0.112212,-0.038783,0.010117,0.413791,0.686357,0.244186
20,0.200000,-0.992894,0.112035,-0.038749,0.010365,0.413809,0.686355,0.244182
21,0.210000,-0.992875,0.112248,-0.038673,0.010203,0.413796,0.686360,0.244178
22,0.220000,-0.992896,0.112083,-0.038601,0.010208,0.413825,0.686353,0.244197
23,0.230000,-0.992884,0.112127,-0.038772,0.010282,0.413814,0.686345,0.244185
24,0.240000,-0.992896,0.112062,-0.038686,0.010168,0.413814,0.686355,0.244183
25,0.250000,-0.992900,0.111969,-0.038902,0.009995,0.413811,0.686356,0.244187
26,0.260000,-0.992873,0.112297,-0.038568,0.010262,0.413811,0.686370,0.244183
27,0.270000,-0.992893,0.112067,-0.038661,0.010459,0.413819,0.686359,0.244177
28,0.280000,-0.992897,0.112091,-0.038599,0.010101,0.413800,0.686352,0.244185
29,0.290000,-0.992895,0.112070,-0.038695,0.010086,0.413819,0.686350,0.244187
30,0.300000,-0.992887,0.112139,-0.038683,0.010146,0.413823,0.686351,0.244189
31,0.310000,-0.992873,0.112279,-0.038651,0.010156,0.413790,0.686356,0.244181
32,0.320000,-0.992862,0.112303,-0.038792,0.010431,0.413795,0.686355,0.244182
33,0.330000,-0.992885,0.112119,-0.038801,0.010175,0.413811,0.686344,0.244181
34,0.340000,-0.992870,0.112323,-0.038617,0.010065,0.413796,0.686359,0.244179
35,0.350000,-0.992887,0.112101,-0.038776,0.010272,0.413810,0.686340,0.244198
36,0.360000,-0.992872,0.112265,-0.038698,0.010227,0.413794,0.686361,0.244176
37,0.370000,-0.992864,0.112369,-0.038595,0.010256,0.413796,0.686358,0.244176
38,0.380000,-0.992872,0.112210,-0.038879,0.010122,0.413795,0.686360,0.244188
39,0.390000,-0.992879,0.112220,-0.038635,0.010258,0.413796,0.686358,0.244182
40,0.400000,-0.992897,0.112034,-0.038754,0.010109,0.413816,0.686344,0.244179
41,0.410000,-0.992901,0.112033,-0.038660,0.010103,0.413814,0.686349,0.244182
42,0.420000,-0.992892,0.112004,-0.038979,0.010103,0.413804,0.686353,0.244191
43,0.430000,-0.992866,0.112238,-0.038917,0.010296,0.413802,0.686354,0.244199
44,0.440000,-0.992867,0.112361,-0.038567,0.010187,0.413794,0.686363,0.244191
45,0.450000,-0.992891,0.112106,-0.038680,0.010141,0.413819,0.686346,0.244186
46,0.460000,-0.992859,0.112328,-0.038922,0.009971,0.413807,0.686358,0.244193
47,0.470000,-0.992887,0.112130,-0.038727,0.010111,0.413814,0.686342,0.244183
48,0.480000,-0.992881,0.112171,-0.038748,0.010216,0.413817,0.686345,0.244183
49,0.490000,-0.992863,0.112282,-0.038861,0.010282,0.413786,0.686370,0.244184
