Format Version,1.23,Take Name,Take 2023-12-20 11.05.48 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-20 11.05.49.614 ,Total Frames in Take,2341,Total Exported Frames,2341,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D","7B42B7B29F1D11EE7FE6B7EAD028679D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.001492,-0.005537,0.004706,-0.999972,7.985777,689.445129,140.723740
1,0.010000,0.001885,-0.005636,0.004932,-0.999970,7.964579,689.455200,140.702454
2,0.020000,0.001485,-0.005518,0.004734,-0.999973,7.977267,689.449707,140.729767
3,0.030000,0.001737,-0.005615,0.004784,-0.999971,7.964215,689.453796,140.695496
4,0.040000,0.001610,-0.005456,0.004664,-0.999973,7.985808,689.446960,140.730301
5,0.050000,0.001607,-0.005374,0.004851,-0.999973,7.974778,689.457520,140.712814
6,0.060000,,,,,,,
7,0.070000,0.001702,-0.005366,0.004859,-0.999972,7.976753,689.446716,140.705154
8,0.080000,0.001616,-0.005448,0.004832,-0.999972,7.974593,689.449341,140.711288
9,0.090000,0.001538,-0.005546,0.004836,-0.999972,7.973908,689.447754,140.731369
10,0.100000,0.001500,-0.005579,0.004822,-0.999972,7.973376,689.447083,140.719299
11,0.110000,0.001499,-0.005482,0.004822,-0.999972,7.971252,689.457092,140.717224
12,0.120000,0.001642,-0.005535,0.004839,-0.999972,7.956060,689.465271,140.679977
13,0.130000,0.001680,-0.005535,0.004911,-0.999971,7.967492,689.443176,140.727859
14,0.140000,0.001792,-0.005434,0.004784,-0.999972,7.965567,689.453979,140.692139
15,0.150000,0.001502,-0.005428,0.004748,-0.999973,7.974273,689.460388,140.724075
16,0.160000,0.001771,-0.005499,0.004822,-0.999972,7.958143,689.461670,140.675385
17,0.170000,0.001831,-0.005484,0.004935,-0.999971,7.954792,689.457153,140.682480
18,0.180000,0.001572,-0.005516,0.004781,-0.999972,7.973831,689.451721,140.742249
19,0.190000,0.001639,-0.005378,0.004762,-0.999973,7.977018,689.451477,140.712906
20,0.200000,0.001827,-0.005333,0.004836,-0.999972,7.976112,689.455383,140.722855
21,0.210000,0.001335,-0.005625,0.004653,-0.999972,7.975570,689.455627,140.730469
22,0.220000,0.001709,-0.005457,0.004806,-0.999972,7.978577,689.447266,140.713287
23,0.230000,0.001610,-0.005325,0.004849,-0.999973,7.985390,689.451050,140.703339
24,0.240000,0.001879,-0.005597,0.004833,-0.999971,7.961473,689.458740,140.692245
25,0.250000,0.001783,-0.005532,0.004836,-0.999971,7.967712,689.462158,140.693161
26,0.260000,0.001634,-0.005486,0.004883,-0.999972,7.963948,689.443176,140.716248
27,0.270000,0.001557,-0.005522,0.004822,-0.999972,7.977142,689.453064,140.722397
28,0.280000,0.001596,-0.005470,0.004886,-0.999972,7.966065,689.446167,140.714523
29,0.290000,0.001463,-0.005474,0.004812,-0.999972,7.973781,689.445801,140.726501
30,0.300000,0.001568,-0.005708,0.004757,-0.999971,7.941722,689.473267,140.684738
31,0.310000,0.001663,-0.005402,0.004942,-0.999972,7.977719,689.452637,140.717560
32,0.320000,0.001723,-0.005792,0.004788,-0.999970,7.943822,689.457397,140.687836
