Format Version,1.23,Take Name,Take 2023-12-05 10.28.06 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-05 10.28.07.020 ,Total Frames in Take,2941,Total Exported Frames,2941,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,mano,mano,mano,mano,mano,mano,mano
,ID,"7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.358573,0.171016,-0.308249,-0.864385,0.078846,0.417117,0.000345
1,0.010000,-0.358211,0.170556,-0.308906,-0.864391,0.078923,0.417226,0.000236
2,0.020000,-0.357412,0.167519,-0.309342,-0.865160,0.079051,0.417362,0.000000
3,0.030000,-0.357372,0.167285,-0.310260,-0.864893,0.079020,0.417527,-0.000103
4,0.040000,-0.357898,0.167147,-0.310455,-0.864632,0.078882,0.417775,-0.000296
5,0.050000,-0.356837,0.167473,-0.311013,-0.864807,0.078785,0.417910,-0.000440
6,0.060000,-0.356268,0.168476,-0.311413,-0.864703,0.078568,0.418110,-0.000584
7,0.070000,-0.356084,0.167852,-0.311994,-0.864690,0.078389,0.418265,-0.000686
8,0.080000,,,,,,,
9,0.090000,-0.354890,0.170279,-0.315675,-0.863370,0.077575,0.418618,-0.000807
10,0.100000,-0.354321,0.168389,-0.315729,-0.863955,0.077333,0.418714,-0.001035
11,0.110000,-0.354158,0.168054,-0.315777,-0.864069,0.077017,0.418776,-0.001217
12,0.120000,-0.353282,0.169196,-0.315497,-0.864307,0.076586,0.418834,-0.001491
13,0.130000,-0.352725,0.169509,-0.315385,-0.864514,0.076209,0.418813,-0.001625
14,0.140000,-0.353362,0.168180,-0.313507,-0.865196,0.075931,0.418616,-0.002002
15,0.150000,-0.353640,0.168475,-0.312488,-0.865394,0.075415,0.418504,-0.002169
16,0.160000,-0.354207,0.169157,-0.312119,-0.865162,0.074965,0.418398,-0.002366
17,0.170000,-0.354664,0.170581,-0.311014,-0.865093,0.074453,0.418306,-0.002631
18,0.180000,,,,,,,
19,0.190000,-0.352597,0.174735,-0.310446,-0.865313,0.073380,0.418051,-0.002885
20,0.200000,-0.352850,0.176183,-0.309905,-0.865110,0.072887,0.417954,-0.003111
21,0.210000,-0.356102,0.176762,-0.308465,-0.864174,0.072295,0.417885,-0.003520
22,0.220000,-0.355405,0.179475,-0.308394,-0.863927,0.071777,0.417817,-0.003818
23,0.230000,-0.355017,0.180323,-0.306741,-0.864498,0.071261,0.417693,-0.004113
24,0.240000,-0.355789,0.180218,-0.306571,-0.864263,0.070843,0.417624,-0.004242
25,0.250000,-0.354364,0.180793,-0.305572,-0.865081,0.070469,0.417535,-0.004420
26,0.260000,-0.355067,0.180750,-0.304092,-0.865324,0.070168,0.417465,-0.004704
27,0.270000,-0.354450,0.181830,-0.303487,-0.865563,0.069931,0.417429,-0.005000
28,0.280000,-0.354016,0.182603,-0.303147,-0.865697,0.069756,0.417416,-0.005283
29,0.290000,-0.354023,0.182469,-0.302697,-0.865879,0.069667,0.417400,-0.005575
30,0.300000,-0.354379,0.182409,-0.303501,-0.865465,0.069538,0.417404,-0.005794
31,0.310000,-0.353821,0.182007,-0.304413,-0.865457,0.069468,0.417429,-0.006078
32,0.320000,-0.353865,0.181563,-0.305053,-0.865308,0.069413,0.417433,-0.006297
33,0.330000,-0.353376,0.184768,-0.308042,-0.863769,0.069030,0.417539,-0.006377
34,0.340000,-0.354386,0.184793,-0.309454,-0.862844,0.069055,0.417652,-0.006652
35,0.350000,-0.355072,0.181022,-0.311068,-0.862782,0.068958,0.417894,-0.006947
36,0.360000,-0.354573,0.180288,-0.311805,-0.862874,0.068978,0.417977,-0.007118
37,0.370000,-0.353689,0.181159,-0.312588,-0.862771,0.068896,0.418124,-0.007366
38,0.380000,-0.352474,0.181468,-0.312281,-0.863315,0.068984,0.418294,-0.007581
39,0.390000,-0.352183,0.181393,-0.312676,-0.863306,0.068951,0.418458,-0.007733
40,0.400000,-0.351631,0.180267,-0.312893,-0.863688,0.068957,0.418663,-0.007851
41,0.410000,-0.350800,0.180782,-0.312869,-0.863927,0.068880,0.418845,-0.007939
42,0.420000,-0.350676,0.180540,-0.312954,-0.863997,0.068825,0.419031,-0.008003
43,0.430000,-0.349615,0.177405,-0.312823,-0.865124,0.068874,0.419222,-0.008265
44,0.440000,-0.349740,0.176894,-0.312915,-0.865145,0.068814,0.419422,-0.008319
45,0.450000,-0.349134,0.177437,-0.312407,-0.865461,0.068728,0.419578,-0.008393
46,0.460000,-0.348619,0.177016,-0.312995,-0.865543,0.068632,0.419779,-0.008475
47,0.470000,-0.348169,0.176305,-0.311664,-0.866349,0.068700,0.419926,-0.008549
48,0.480000,-0.347986,0.176851,-0.311109,-0.866511,0.068613,0.420042,-0.008641
49,0.490000,-0.348160,0.176706,-0.310764,-0.866594,0.068524,0.420176,-0.008708
50,0.500000,-0.347090,0.177338,-0.310370,-0.867035,0.068437,0.420300,-0.008766
51,0.510000,-0.348016,0.205919,-0.316516,-0.858079,0.066482,0.419798,-0.008658
52,0.520000,-0.347039,0.197475,-0.314655,-0.861139,0.066831,0.419994,-0.008948
53,0.530000,-0.347953,0.207237,-0.313098,-0.859041,0.066436,0.419860,-0.008865
54,0.540000,-0.346277,0.199074,-0.312827,-0.861743,0.066718,0.420179,-0.009062
55,0.550000,-0.345749,0.199092,-0.311584,-0.862401,0.066704,0.420304,-0.009111
56,0.560000,-0.346254,0.213098,-0.310617,-0.859194,0.066211,0.420055,-0.008974
57,0.570000,-0.344030,0.200735,-0.309685,-0.863391,0.066736,0.420483,-0.009144
58,0.580000,-0.342963,0.200088,-0.307995,-0.864569,0.066872,0.420624,-0.009149
59,0.590000,-0.342428,0.200451,-0.306473,-0.865238,0.066888,0.420752,-0.009150
60,0.600000,-0.341618,0.200486,-0.305067,-0.866046,0.066977,0.420843,-0.009112
61,0.610000,-0.340478,0.201055,-0.303974,-0.866747,0.067101,0.420942,-0.009092
62,0.620000,-0.338935,0.202584,-0.302624,-0.867468,0.067268,0.421061,-0.009067
63,0.630000,-0.337888,0.203142,-0.302068,-0.867940,0.067423,0.421172,-0.009033
64,0.640000,-0.338011,0.204055,-0.301589,-0.867845,0.067708,0.421350,-0.008924
65,0.650000,-0.337722,0.204184,-0.301166,-0.868074,0.068015,0.421449,-0.008852
66,0.660000,-0.337472,0.204958,-0.301754,-0.867784,0.068340,0.421532,-0.008844
67,0.670000,-0.337568,0.205323,-0.301393,-0.867786,0.068704,0.421612,-0.008833
68,0.680000,-0.341311,0.208906,-0.299084,-0.866264,0.069369,0.421735,-0.008439
69,0.690000,-0.342233,0.209140,-0.299645,-0.865650,0.069801,0.421798,-0.008406
70,0.700000,-0.342078,0.211239,-0.298295,-0.865668,0.070317,0.422023,-0.008399
71,0.710000,-0.344725,0.223397,-0.298700,-0.861416,0.070179,0.421824,-0.008464
72,0.720000,-0.345299,0.223771,-0.298734,-0.861077,0.070682,0.422016,-0.008398
73,0.730000,-0.345426,0.224397,-0.299568,-0.860573,0.071208,0.422181,-0.008348
74,0.740000,,,,,,,
75,0.750000,,,,,,,
76,0.760000,,,,,,,
77,0.770000,-0.340905,0.178896,-0.301390,-0.872321,0.076080,0.424174,-0.007683
78,0.780000,,,,,,,
79,0.790000,-0.340439,0.176184,-0.303216,-0.872422,0.077255,0.424372,-0.007291
80,0.800000,-0.340147,0.174172,-0.304102,-0.872632,0.077775,0.424465,-0.007143
81,0.810000,-0.340064,0.173775,-0.305264,-0.872338,0.078275,0.424482,-0.006994
82,0.820000,-0.340840,0.173078,-0.305493,-0.872093,0.078992,0.424493,-0.006908
83,0.830000,-0.340632,0.172524,-0.306638,-0.871882,0.079513,0.424495,-0.006792
84,0.840000,-0.340674,0.172621,-0.307187,-0.871653,0.079987,0.424460,-0.006644
85,0.850000,-0.341485,0.172203,-0.305529,-0.872001,0.080443,0.424378,-0.006713
86,0.860000,-0.341911,0.171765,-0.306089,-0.871724,0.080842,0.424376,-0.006619
87,0.870000,-0.342347,0.172294,-0.305376,-0.871699,0.081297,0.424362,-0.006598
88,0.880000,-0.342917,0.176189,-0.304720,-0.870925,0.081500,0.424285,-0.006549
89,0.890000,-0.343495,0.176101,-0.303804,-0.871035,0.081988,0.424261,-0.006544
90,0.900000,-0.344054,0.177497,-0.301803,-0.871227,0.082463,0.424289,-0.006478
91,0.910000,-0.346068,0.174084,-0.299001,-0.872084,0.083371,0.424321,-0.006448
92,0.920000,-0.347122,0.174082,-0.297810,-0.872073,0.083877,0.424384,-0.006473
93,0.930000,-0.347299,0.175270,-0.296683,-0.872149,0.084452,0.424461,-0.006495
94,0.940000,-0.347485,0.175852,-0.294963,-0.872541,0.085120,0.424579,-0.006505
95,0.950000,-0.348090,0.175923,-0.293825,-0.872669,0.085838,0.424721,-0.006544
96,0.960000,-0.349626,0.192957,-0.296649,-0.867484,0.085373,0.424348,-0.006270
97,0.970000,-0.349331,0.192537,-0.296465,-0.867759,0.086022,0.424360,-0.006300
98,0.980000,-0.348128,0.173356,-0.293140,-0.873398,0.087925,0.424764,-0.006548
99,0.990000,-0.348659,0.191974,-0.297060,-0.867951,0.087440,0.424392,-0.006396
100,1.000000,-0.347186,0.190657,-0.297637,-0.868633,0.088178,0.424447,-0.006398
101,1.010000,-0.346096,0.169725,-0.294453,-0.874476,0.090186,0.424835,-0.006550
102,1.020000,-0.345494,0.188178,-0.299469,-0.869219,0.089656,0.424466,-0.006274
103,1.030000,-0.343413,0.168331,-0.295288,-0.875521,0.091633,0.424913,-0.006462
104,1.040000,-0.341967,0.169270,-0.295115,-0.875964,0.092268,0.424995,-0.006403
105,1.050000,-0.338301,0.170002,-0.294167,-0.877563,0.092988,0.425072,-0.006314
106,1.060000,-0.336050,0.167450,-0.293596,-0.879109,0.093686,0.425141,-0.006161
107,1.070000,-0.331096,0.167490,-0.294100,-0.880811,0.094198,0.425274,-0.005808
108,1.080000,-0.326837,0.165449,-0.292158,-0.883430,0.094879,0.425441,-0.005590
109,1.090000,-0.321382,0.162980,-0.290516,-0.886426,0.095618,0.425641,-0.005270
110,1.100000,-0.315395,0.161905,-0.286197,-0.890171,0.096500,0.425976,-0.004889
111,1.110000,-0.307136,0.157296,-0.284514,-0.894414,0.097422,0.426204,-0.004447
112,1.120000,-0.299248,0.154072,-0.282264,-0.898354,0.098386,0.426563,-0.004091
113,1.130000,-0.293042,0.150276,-0.279841,-0.901794,0.099236,0.426992,-0.003604
114,1.140000,-0.286026,0.144048,-0.275528,-0.906380,0.100491,0.427386,-0.003184
