Format Version,1.23,Take Name,Take 2023-12-12 11.00.19 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-12 11.00.19.349 ,Total Frames in Take,1430,Total Exported Frames,1430,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,mano,mano,mano,mano,mano,mano,mano,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
0,0.000000,,,,,,,,0.102407,0.006615,-0.044996,-0.993702,1.557424,-0.335428,-0.960466
1,0.010000,,,,,,,,0.101907,0.006837,-0.045377,-0.993735,1.557486,-0.335401,-0.960550
2,0.020000,,,,,,,,0.101523,0.006248,-0.045943,-0.993752,1.557502,-0.335362,-0.960633
3,0.030000,,,,,,,,0.101593,0.006806,-0.045964,-0.993740,1.557568,-0.335373,-0.960676
4,0.040000,,,,,,,,0.102271,0.006170,-0.046260,-0.993661,1.557580,-0.335408,-0.960774
5,0.050000,,,,,,,,0.101766,0.006498,-0.046650,-0.993693,1.557616,-0.335385,-0.960805
6,0.060000,,,,,,,,0.102675,0.006561,-0.046179,-0.993621,1.557663,-0.335419,-0.960873
7,0.070000,,,,,,,,0.102347,0.006005,-0.046472,-0.993645,1.557686,-0.335404,-0.960944
8,0.080000,,,,,,,,0.102938,0.004968,-0.046225,-0.993601,1.557686,-0.335459,-0.961052
9,0.090000,,,,,,,,0.102631,0.005014,-0.046564,-0.993616,1.557698,-0.335428,-0.961094
10,0.100000,,,,,,,,0.095780,0.014292,-0.054874,-0.993786,1.558252,-0.335497,-0.961398
11,0.110000,,,,,,,,,,,,,,
12,0.120000,,,,,,,,0.099126,0.008987,-0.047166,-0.993916,1.557898,-0.335490,-0.961407
13,0.130000,,,,,,,,0.099022,0.008034,-0.047119,-0.993937,1.557890,-0.335526,-0.961488
14,0.140000,,,,,,,,0.099104,0.008479,-0.047006,-0.993930,1.557920,-0.335549,-0.961513
15,0.150000,,,,,,,,0.099123,0.008187,-0.047085,-0.993927,1.557923,-0.335557,-0.961547
16,0.160000,,,,,,,,0.099092,0.007326,-0.046865,-0.993947,1.557933,-0.335646,-0.961620
17,0.170000,,,,,,,,0.098981,0.006722,-0.047032,-0.993954,1.557939,-0.335649,-0.961675
18,0.180000,,,,,,,,0.099246,0.007033,-0.046850,-0.993935,1.557947,-0.335676,-0.961688
19,0.190000,,,,,,,,0.099908,0.006216,-0.046509,-0.993890,1.557946,-0.335710,-0.961688
20,0.200000,,,,,,,,0.100020,0.005849,-0.046020,-0.993903,1.557944,-0.335807,-0.961736
21,0.210000,,,,,,,,0.099497,0.006061,-0.046456,-0.993934,1.557970,-0.335798,-0.961745
22,0.220000,,,,,,,,0.099131,0.005412,-0.046558,-0.993970,1.557964,-0.335845,-0.961807
23,0.230000,,,,,,,,0.099241,0.006291,-0.046463,-0.993958,1.557978,-0.335854,-0.961768
24,0.240000,,,,,,,,0.099142,0.005940,-0.046531,-0.993967,1.557984,-0.335887,-0.961795
25,0.250000,,,,,,,,0.099035,0.005668,-0.046597,-0.993976,1.557990,-0.335904,-0.961799
26,0.260000,,,,,,,,0.099455,0.005895,-0.046046,-0.993959,1.558007,-0.335977,-0.961766
